@relation deltaTestDiffOrientations

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute x51 numeric
@attribute y51 numeric
@attribute x52 numeric
@attribute y52 numeric
@attribute x53 numeric
@attribute y53 numeric
@attribute x54 numeric
@attribute y54 numeric
@attribute x55 numeric
@attribute y55 numeric
@attribute x56 numeric
@attribute y56 numeric
@attribute x57 numeric
@attribute y57 numeric
@attribute x58 numeric
@attribute y58 numeric
@attribute x59 numeric
@attribute y59 numeric
@attribute x60 numeric
@attribute y60 numeric
@attribute result {Half-Circle, Line, Sine}


@data
0,0,1,2,4,1,17,11,14,14,18,15,21,8,25,9,21,14,18,12,27,20,18,11,15,7,31,26,14,7,25,7,19,10,15,5,26,9,6,5,14,7,15,2,7,0,11,2,10,1,13,3,13,5,8,5,22,10,9,6,12,10,9,7,6,9,5,20,5,12,1,16,8,9,15,9,16,17,6,8,2,10,2,10,3,13,1,8,0,7,0,7,1,6,1,9,1,7,2,7,0,6,0,9,0,6,0,4,0,3,1,1,0,1,0,5,1,4,3,1,Half-Circle
0,0,2,2,1,1,4,3,2,2,1,4,1,4,4,5,4,8,13,9,22,7,22,5,26,5,17,4,17,6,16,6,25,17,18,12,19,10,15,9,16,9,25,16,14,10,12,12,8,8,8,6,17,14,12,4,17,5,21,1,19,5,26,3,15,3,3,4,20,17,8,7,22,19,3,6,8,12,13,26,4,5,7,20,3,4,3,27,1,9,1,9,1,22,3,14,2,7,1,8,3,5,1,7,1,6,1,6,1,6,0,2,1,6,1,1,0,0,1,2,Half-Circle
0,0,5,24,1,11,2,15,11,18,23,19,27,16,28,14,41,25,22,7,30,21,23,8,11,5,29,10,19,3,19,0,22,2,16,5,23,1,14,4,13,3,12,2,16,0,7,4,9,4,9,12,6,10,11,9,9,17,6,19,0,12,0,15,2,13,3,14,1,10,1,6,1,10,4,12,0,7,1,8,0,8,0,9,0,5,2,7,1,7,0,5,1,5,1,6,0,8,0,7,1,5,1,8,0,4,3,5,1,4,1,1,0,1,2,3,1,1,2,1,Half-Circle
0,0,2,1,1,3,1,9,2,6,7,10,5,11,14,5,26,14,31,10,19,12,12,9,14,11,17,11,13,9,18,13,18,11,9,12,19,7,24,9,11,5,12,2,14,3,8,2,8,4,9,2,4,6,6,3,9,2,46,5,16,5,18,10,8,6,11,9,7,5,10,16,6,11,4,7,8,14,1,10,2,17,3,7,2,3,2,10,0,8,3,14,1,7,2,8,1,8,1,7,1,12,1,7,1,6,1,13,1,5,3,7,1,5,3,7,0,3,0,1,Half-Circle
0,0,10,12,7,6,9,9,18,7,12,8,18,8,14,8,14,8,19,12,17,3,27,9,16,8,14,8,18,14,10,12,11,12,10,11,8,7,19,8,13,3,16,1,13,1,5,3,14,1,11,1,14,1,21,10,7,5,6,3,5,4,4,5,7,11,6,6,1,4,4,11,1,13,2,11,6,9,13,15,5,10,2,6,2,9,4,4,3,9,1,8,0,5,0,6,2,8,0,5,1,6,1,9,2,9,3,6,3,10,3,8,4,12,4,3,11,2,16,4,Half-Circle
0,0,8,1,7,7,1,1,17,35,17,23,27,12,19,24,5,0,8,8,20,5,4,6,6,5,2,8,2,8,1,9,2,5,2,1,1,5,4,1,3,2,2,1,7,5,7,5,5,2,10,0,7,0,9,0,9,0,7,0,5,1,8,2,5,1,6,1,11,2,6,2,9,7,4,1,9,1,5,4,7,2,5,2,5,0,4,3,5,1,4,0,3,0,2,5,4,1,4,0,3,4,5,3,7,3,8,3,5,2,3,0,1,5,3,2,2,6,3,2,Half-Circle
0,0,79,48,6,4,3,1,7,3,7,1,5,1,2,0,7,1,6,0,3,2,6,2,6,2,6,0,5,1,8,1,7,1,7,1,2,1,6,3,5,5,2,1,4,3,1,6,5,2,2,3,5,3,2,2,4,6,3,6,3,4,1,1,2,7,1,4,3,3,2,6,2,1,2,6,1,6,2,13,1,14,2,12,1,5,1,4,2,5,2,4,1,3,2,6,1,2,1,7,1,5,3,5,1,7,1,1,2,3,1,1,4,2,6,1,7,5,5,16,Half-Circle
0,0,2,7,3,1,6,4,1,0,1,1,3,3,1,1,2,4,2,1,2,9,1,1,1,15,2,5,2,12,2,7,3,5,2,7,1,16,1,8,2,12,3,0,4,16,3,3,3,12,4,7,3,1,5,7,5,10,5,5,6,11,4,10,6,3,3,5,5,5,3,5,7,5,1,3,4,4,5,2,4,2,1,1,6,4,7,2,3,0,6,0,9,2,7,1,4,0,10,0,8,4,7,4,5,0,10,7,7,9,4,2,7,5,5,3,4,1,4,1,Half-Circle
0,0,0,6,1,14,3,3,4,15,9,10,3,7,4,7,5,2,8,9,4,9,5,7,9,2,12,1,10,2,11,2,12,2,7,1,3,1,14,14,8,4,10,7,4,1,5,1,4,2,2,4,3,1,1,4,6,5,2,2,6,7,4,5,6,3,2,1,2,5,3,1,9,10,1,1,3,5,2,3,0,6,3,1,0,4,2,6,2,1,1,8,1,5,1,4,2,2,3,6,1,2,1,3,1,8,1,2,1,0,1,4,1,2,1,5,1,3,4,10,Half-Circle
0,0,2,4,1,2,4,4,3,6,2,7,2,2,1,8,5,11,2,9,3,8,2,6,4,4,5,5,6,8,2,3,4,5,4,5,2,5,4,2,5,6,4,5,3,6,4,3,3,4,5,6,4,6,3,1,4,9,4,4,3,2,4,1,8,1,2,1,8,0,6,3,7,1,13,7,5,1,7,3,2,2,5,0,4,7,7,2,4,5,2,3,4,1,8,2,6,4,6,2,6,4,2,3,5,6,3,2,2,4,2,7,2,1,10,11,5,4,5,4,Half-Circle
